District,Month,Visitors,Year,Season
Nirmal,January,154786,2021,Monsoon
Nirmal,February,225686,2021,Monsoon
Nirmal,March,205287,2021,Winter
Nirmal,April,125395,2021,Winter
Nirmal,May,25969,2021,Summer
Nirmal,June,7048,2021,Winter
Nirmal,July,125523,2021,Monsoon
Nirmal,August,173301,2021,Autumn
Nirmal,September,225421,2021,Monsoon
Nirmal,October,265203,2021,Monsoon
Nirmal,November,228200,2021,Autumn
Nirmal,December,195660,2021,Winter
Nizamabad,January,9450,2021,Autumn
Nizamabad,February,50500,2021,Monsoon
Nizamabad,March,61080,2021,Monsoon
Nizamabad,April,30430,2021,Monsoon
Nizamabad,May,0,2021,Summer
Nizamabad,June,2020,2021,Autumn
Nizamabad,July,14050,2021,Summer
Nizamabad,August,19580,2021,Summer
Nizamabad,September,12580,2021,Autumn
Nizamabad,October,13600,2021,Autumn
Nizamabad,November,19090,2021,Summer
Nizamabad,December,10120,2021,Summer
Peddapalli,January,1150,2021,Summer
Peddapalli,February,1245,2021,Autumn
Peddapalli,March,2610,2021,Winter
Peddapalli,April,3405,2021,Winter
Peddapalli,May,355,2021,Monsoon
Peddapalli,June,420,2021,Monsoon
Peddapalli,July,550,2021,Autumn
Peddapalli,August,779,2021,Autumn
Peddapalli,September,660,2021,Winter
Peddapalli,October,650,2021,Autumn
Peddapalli,November,1630,2021,Monsoon
Peddapalli,December,1840,2021,Autumn
RajanuaSircilla,January,656423,2021,Summer
RajanuaSircilla,February,571526,2021,Winter
RajanuaSircilla,March,868764,2021,Monsoon
RajanuaSircilla,April,198252,2021,Winter
RajanuaSircilla,May,23978,2021,Summer
RajanuaSircilla,June,125913,2021,Monsoon
RajanuaSircilla,July,290935,2021,Monsoon
RajanuaSircilla,August,518772,2021,Summer
RajanuaSircilla,September,388599,2021,Summer
RajanuaSircilla,October,355757,2021,Monsoon
RajanuaSircilla,November,567535,2021,Autumn
RajanuaSircilla,December,606628,2021,Monsoon
Sangareddy,January,112500,2021,Winter
Sangareddy,February,103200,2021,Summer
Sangareddy,March,274500,2021,Winter
Sangareddy,April,117300,2021,Autumn
Sangareddy,May,15000,2021,Autumn
Sangareddy,June,26500,2021,Winter
Sangareddy,July,33000,2021,Winter
Sangareddy,August,64900,2021,Monsoon
Sangareddy,September,47700,2021,Monsoon
Sangareddy,October,50000,2021,Summer
Sangareddy,November,56150,2021,Monsoon
Sangareddy,December,38750,2021,Autumn
Siddipet,January,173749,2021,Winter
Siddipet,February,107247,2021,Summer
Siddipet,March,70337,2021,Winter
Siddipet,April,61534,2021,Autumn
Siddipet,May,9000,2021,Winter
Siddipet,June,37700,2021,Winter
Siddipet,July,37000,2021,Monsoon
Siddipet,August,70000,2021,Winter
Siddipet,September,59000,2021,Monsoon
Siddipet,October,90000,2021,Monsoon
Siddipet,November,93500,2021,Summer
Siddipet,December,90350,2021,Winter
Wanaparthy,January,22482,2021,Summer
Wanaparthy,February,22524,2021,Autumn
Wanaparthy,March,19672,2021,Winter
Wanaparthy,April,25212,2021,Monsoon
Wanaparthy,May,295,2021,Winter
Wanaparthy,June,600,2021,Autumn
Wanaparthy,July,29300,2021,Winter
